edgeID,startNode,endNode
GHALL01401_GHALL01501,GHALL01401,GHALL01501
WELEV00KL2_WELEV00K03,WELEV00KL2,WELEV00K03
DHALL04202_DHALL04302,DHALL04202,DHALL04302
BHALL02202_BHALL02302,BHALL02202,BHALL02302
DHALL03702_DELEV00C02,DHALL03702,DELEV00C02
bHALL001L2_CHALL001L2,bHALL001L2,CHALL001L2
BREST00302_BSTAI00902,BREST00302,BSTAI00902
WHALL002L2_GHALL001L2,WHALL002L2,GHALL001L2
AHALL00202_AHALL00102,AHALL00202,AHALL00102
BHALL02002_BHALL04202,BHALL02002,BHALL04202
GSTAI02802_GHALL02902,GSTAI02802,GHALL02902
BSTAI00602_BDEPT00902,BSTAI00602,BDEPT00902
GHALL005L1_GSTAI008L1,GHALL005L1,GSTAI008L1
DHALL05802_DDEPT00402,DHALL05802,DDEPT00402
BHALL03102_BSTAI00802,BHALL03102,BSTAI00802
BHALL02202_BHALL02102,BHALL02202,BHALL02102
BHALL00502_WELEV00J02,BHALL00502,WELEV00J02
DHALL04902_DREST00302,DHALL04902,DREST00302
GHALL02102_GHALL02302,GHALL02102,GHALL02302
EDEPT00401_EHALL03301,EDEPT00401,EHALL03301
GHALL003L1_GHALL005L1,GHALL003L1,GHALL005L1
BSTAI00502_WELEV00G02,BSTAI00502,WELEV00G02
HHALL00202_HHALL00302,HHALL00202,HHALL00302
FHALL02401_FHALL02201,FHALL02401,FHALL02201
HHALL00102_HHALL00402,HHALL00102,HHALL00402
bWALK00501_bWALK00601,bWALK00501,bWALK00601
WELEV00J03_IHALL01803,WELEV00J03,IHALL01803
DHALL02502_DDEPT00202,DHALL02502,DDEPT00202
bHALL001L2_CLABS001L2,bHALL001L2,CLABS001L2
GHALL005L2_GELEV00QL2,GHALL005L2,GELEV00QL2
CHALL003L1_CLABS004L1,CHALL003L1,CLABS004L1
IHALL00503_IDEPT00303,IHALL00503,IDEPT00303
BHALL00702_BHALL01502,BHALL00702,BHALL01502
CHALL013L1_CDEPT002L1,CHALL013L1,CDEPT002L1
AHALL00401_AHALL00801,AHALL00401,AHALL00801
GHALL00402_GREST00602,GHALL00402,GREST00602
BHALL01402_WHALL00102,BHALL01402,WHALL00102
DHALL02102_DRETL00102,DHALL02102,DRETL00102
DHALL05402_DHALL05802,DHALL05402,DHALL05802
DHALL05502_DHALL05602,DHALL05502,DHALL05602
bWALK00501_GEXIT00101,bWALK00501,GEXIT00101
bHALL00202_GREST03102,bHALL00202,GREST03102
WHALL00402_BSTAI00102,WHALL00402,BSTAI00102
BSTAI00202_BHALL03802,BSTAI00202,BHALL03802
BHALL01202_BSTAI00502,BHALL01202,BSTAI00502
BHALL02702_BHALL02802,BHALL02702,BHALL02802
WELEV00M02_HHALL01002,WELEV00M02,HHALL01002
EHALL02101_EHALL02201,EHALL02101,EHALL02201
WELEV00L02_HHALL00102,WELEV00L02,HHALL00102
CDEPT004L1_CHALL002L1,CDEPT004L1,CHALL002L1
GSTAI008L1_GSTAI01301,GSTAI008L1,GSTAI01301
BREST00102_BHALL03402,BREST00102,BHALL03402
DHALL01502_DHALL01602,DHALL01502,DHALL01602
CCONF003L1_CHALL002L1,CCONF003L1,CHALL002L1
DHALL03102_DHALL03202,DHALL03102,DHALL03202
CHALL006L1_CHALL007L1,CHALL006L1,CHALL007L1
CHALL008L1_CDEPT004L1,CHALL008L1,CDEPT004L1
HHALL00903_HHALL01103,HHALL00903,HHALL01103
HHALL00802_HSTAI00302,HHALL00802,HSTAI00302
DHALL01002_DHALL01102,DHALL01002,DHALL01102
DHALL01402_DELEV00A02,DHALL01402,DELEV00A02
GHALL02002_GHALL02102,GHALL02002,GHALL02102
GHALL03802_GHALL03402,GHALL03802,GHALL03402
BHALL02302_BINFO00102,BHALL02302,BINFO00102
WHALL00202_DHALL05802,WHALL00202,DHALL05802
bWALK00701_FHALL02601,bWALK00701,FHALL02601
AHALL004L2_ALABS001L2,AHALL004L2,ALABS001L2
GDEPT02402_GHALL03002,GDEPT02402,GHALL03002
CLABS004L1_CLABS003L1,CLABS004L1,CLABS003L1
HHALL01503_HREST00203,HHALL01503,HREST00203
IHALL01403_IHALL01703,IHALL01403,IHALL01703
HHALL01103_HHALL01203,HHALL01103,HHALL01203
GINFO01902_GHALL01802,GINFO01902,GHALL01802
IHALL00303_IHALL00403,IHALL00303,IHALL00403
bPARK01801_bPARK02001,bPARK01801,bPARK02001
bPARK00501_bPARK01001,bPARK00501,bPARK01001
GHALL01802_GHALL02002,GHALL01802,GHALL02002
EHALL02601_EDEPT00201,EHALL02601,EDEPT00201
bHALL00202_GELEV00Q02,bHALL00202,GELEV00Q02
GHALL00801_GHALL01601,GHALL00801,GHALL01601
WHALL00502_WHALL00602,WHALL00502,WHALL00602
GHALL02902_GHALL03202,GHALL02902,GHALL03202
AHALL00403_AHALL00303,AHALL00403,AHALL00303
GDEPT00403_GHALL01003,GDEPT00403,GHALL01003
GDEPT03502_GHALL03002,GDEPT03502,GHALL03002
GHALL006L1_GELEV00QL1,GHALL006L1,GELEV00QL1
BDEPT00402_BHALL00602,BDEPT00402,BHALL00602
CLABS005L1_CHALL003L1,CLABS005L1,CHALL003L1
DHALL02602_DHALL02702,DHALL02602,DHALL02702
BHALL04402_WELEV00F02,BHALL04402,WELEV00F02
HHALL01503_HHALL00603,HHALL01503,HHALL00603
BDEPT00902_WELEV00E02,BDEPT00902,WELEV00E02
bPARK02001_bPARK02301,bPARK02001,bPARK02301
BHALL00202_BHALL00502,BHALL00202,BHALL00502
HHALL00903_HHALL01003,HHALL00903,HHALL01003
DHALL02102_DHALL02202,DHALL02102,DHALL02202
HHALL00802_HHALL00902,HHALL00802,HHALL00902
GHALL03702_GHALL03602,GHALL03702,GHALL03602
EDEPT00401_EHALL03101,EDEPT00401,EHALL03101
GHALL02002_GHALL02202,GHALL02002,GHALL02202
HHALL00402_HHALL00502,HHALL00402,HHALL00502
CLABS003L1_CHALL006L1,CLABS003L1,CHALL006L1
FHALL01501_FHALL01401,FHALL01501,FHALL01401
WHALL00203_IHALL00103,WHALL00203,IHALL00103
IHALL00803_IHALL01003,IHALL00803,IHALL01003
AELEV00S02_AELEV00S03,AELEV00S02,AELEV00S03
HHALL01002_HDEPT00102,HHALL01002,HDEPT00102
bWALK00801_bWALK00901,bWALK00801,bWALK00901
AHALL003L2_AHALL004L2,AHALL003L2,AHALL004L2
AHALL00601_AHALL00501,AHALL00601,AHALL00501
BHALL00402_BHALL03102,BHALL00402,BHALL03102
bWALK00401_bWALK00501,bWALK00401,bWALK00501
bWALK00301_bWALK00401,bWALK00301,bWALK00401
EEXIT00201_EHALL02001,EEXIT00201,EHALL02001
