edgeID,startNode,endNode
AHALL001L2_AELEV00SL2,AHALL001L2,AELEV00SL2
GHALL03602_GDEPT03502,GHALL03602,GDEPT03502
bHALL00302_HREST00102,bHALL00302,HREST00102
bWALK00601_bEXIT00401,bWALK00601,bEXIT00401
BHALL01102_BHALL02302,BHALL01102,BHALL02302
ADEPT00101_AHALL00201,ADEPT00101,AHALL00201
IHALL02003_IDEPT00903,IHALL02003,IDEPT00903
DHALL05602_DHALL05702,DHALL05602,DHALL05702
EHALL02001_ELABS00101,EHALL02001,ELABS00101
GELEV00Q03_GHALL00603,GELEV00Q03,GHALL00603
CHALL008L2_WELEV00LL2,CHALL008L2,WELEV00LL2
EHALL02201_EHALL02301,EHALL02201,EHALL02301
GHALL00202_GHALL00102,GHALL00202,GHALL00102
GDEPT01403_GELEV00N03,GDEPT01403,GELEV00N03
BHALL04202_BHALL04302,BHALL04202,BHALL04302
WHALL00103_WELEV00M03,WHALL00103,WELEV00M03
DHALL05202_DHALL05302,DHALL05202,DHALL05302
CHALL002L1_CSERV001L1,CHALL002L1,CSERV001L1
GHALL00601_GHALL00701,GHALL00601,GHALL00701
IHALL02203_IDEPT00703,IHALL02203,IDEPT00703
WELEV00KL1_CHALL009L1,WELEV00KL1,CHALL009L1
AHALL00701_ADEPT00301,AHALL00701,ADEPT00301
WHALL00102_WHALL00202,WHALL00102,WHALL00202
BHALL04202_WELEV00H02,BHALL04202,WELEV00H02
HHALL00202_HRETL00102,HHALL00202,HRETL00102
CREST004L1_CLABS005L1,CREST004L1,CLABS005L1
IHALL00803_IREST00303,IHALL00803,IREST00303
bPARK00201_bPARK00301,bPARK00201,bPARK00301
GHALL02902_GHALL02702,GHALL02902,GHALL02702
BHALL03002_BSTAI00702,BHALL03002,BSTAI00702
bEXIT00401_FHALL02201,bEXIT00401,FHALL02201
ASTAI00102_AHALL00202,ASTAI00102,AHALL00202
HHALL00502_HHALL00602,HHALL00502,HHALL00602
CLABS002L1_CHALL005L1,CLABS002L1,CHALL005L1
DHALL01802_DSTAI00202,DHALL01802,DSTAI00202
bWALK00701_bWALK00801,bWALK00701,bWALK00801
WELEV00ML2_CREST002L2,WELEV00ML2,CREST002L2
HHALL00102_HHALL00202,HHALL00102,HHALL00202
AHALL00501_AHALL00401,AHALL00501,AHALL00401
GHALL007L2_GHALL008L2,GHALL007L2,GHALL008L2
HHALL00302_HSTAI00102,HHALL00302,HSTAI00102
IHALL00703_IHALL00803,IHALL00703,IHALL00803
HHALL01203_HHALL01303,HHALL01203,HHALL01303
GHALL011L2_GHALL012L2,GHALL011L2,GHALL012L2
HHALL01002_WHALL00502,HHALL01002,WHALL00502
CHALL001L1_CREST001L1,CHALL001L1,CREST001L1
EHALL03101_EHALL03601,EHALL03101,EHALL03601
DHALL04502_DHALL04602,DHALL04502,DHALL04602
AELEV00S02_AHALL00402,AELEV00S02,AHALL00402
BHALL04402_BINFO00202,BHALL04402,BINFO00202
BHALL04102_BHALL04202,BHALL04102,BHALL04202
FHALL01501_bCONF00601,FHALL01501,bCONF00601
CHALL003L2_WELEV00KL2,CHALL003L2,WELEV00KL2
GHALL01702_GHALL01602,GHALL01702,GHALL01602
BHALL01102_BHALL01002,BHALL01102,BHALL01002
GHALL03302_GHALL03202,GHALL03302,GHALL03202
GHALL03402_GHALL03202,GHALL03402,GHALL03202
DDEPT00302_DHALL04002,DDEPT00302,DHALL04002
BSTAI00902_WHALL00602,BSTAI00902,WHALL00602
CREST001L2_CLABS001L2,CREST001L2,CLABS001L2
DHALL00302_DHALL00502,DHALL00302,DHALL00502
BDEPT00902_BHALL01402,BDEPT00902,BHALL01402
AHALL00602_WHALL01002,AHALL00602,WHALL01002
bPARK00501_bWALK00101,bPARK00501,bWALK00101
bPARK01701_bPARK01601,bPARK01701,bPARK01601
GHALL005L1_GHALL006L1,GHALL005L1,GHALL006L1
AHALL002L2_AEXIT001L2,AHALL002L2,AEXIT001L2
IHALL00103_IREST00103,IHALL00103,IREST00103
GHALL01401_GHALL00801,GHALL01401,GHALL00801
DHALL05302_DINFO00202,DHALL05302,DINFO00202
WELEV00L02_WELEV00L03,WELEV00L02,WELEV00L03
GDEPT02402_GHALL01702,GDEPT02402,GHALL01702
CHALL015L1_CCONF001L1,CHALL015L1,CCONF001L1
WELEV00LL2_WELEV00LL1,WELEV00LL2,WELEV00LL1
HHALL00703_HHALL00803,HHALL00703,HHALL00803
ELABS00101_bCONF00501,ELABS00101,bCONF00501
bCONF00301_bPARK01701,bCONF00301,bPARK01701
GHALL012L2_GHALL013L2,GHALL012L2,GHALL013L2
BHALL00402_BREST00302,BHALL00402,BREST00302
CHALL008L1_WELEV00KL1,CHALL008L1,WELEV00KL1
CLABS002L2_WELEV00KL2,CLABS002L2,WELEV00KL2
IHALL00303_IDEPT00203,IHALL00303,IDEPT00203
IHALL01003_WELEV00H03,IHALL01003,WELEV00H03
BHALL01902_BHALL04102,BHALL01902,BHALL04102
bPARK01301_bPARK02001,bPARK01301,bPARK02001
BSTAI01002_BHALL00302,BSTAI01002,BHALL00302
BINFO00202_BHALL02502,BINFO00202,BHALL02502
BHALL00702_BHALL01002,BHALL00702,BHALL01002
DHALL04602_DHALL04702,DHALL04602,DHALL04702
BHALL00802_BSTAI00302,BHALL00802,BSTAI00302
ESTAI00401_ELABS00201,ESTAI00401,ELABS00201
BHALL02602_BHALL02702,BHALL02602,BHALL02702
GHALL01302_GHALL01102,GHALL01302,GHALL01102
CLABS002L1_CREST001L1,CLABS002L1,CREST001L1
GSTAI00903_GSTAI02602,GSTAI00903,GSTAI02602
BHALL03102_BHALL03302,BHALL03102,BHALL03302
BHALL04102_WELEV00H02,BHALL04102,WELEV00H02
BHALL03002_BHALL03302,BHALL03002,BHALL03302
WELEV00ML2_WELEV00M03,WELEV00ML2,WELEV00M03
DHALL00802_DHALL00902,DHALL00802,DHALL00902
DHALL04002_DHALL04102,DHALL04002,DHALL04102
DHALL04902_DHALL05002,DHALL04902,DHALL05002
WELEV00ML2_WELEV00M02,WELEV00ML2,WELEV00M02
CHALL007L1_CHALL008L1,CHALL007L1,CHALL008L1
DHALL05602_DELEV00D02,DHALL05602,DELEV00D02
GHALL03302_GHALL03402,GHALL03302,GHALL03402
bPARK00101_bPARK00201,bPARK00101,bPARK00201
DHALL00302_DHALL00402,DHALL00302,DHALL00402
HHALL00602_HHALL00702,HHALL00602,HHALL00702
GELEV00QL2_GELEV00QL1,GELEV00QL2,GELEV00QL1
BSTAI00102_BHALL00102,BSTAI00102,BHALL00102
GHALL00102_GHALL00302,GHALL00102,GHALL00302
bWALK00601_bWALK00701,bWALK00601,bWALK00701
IHALL01903_IDEPT00803,IHALL01903,IDEPT00803
GHALL01102_GDEPT00702,GHALL01102,GDEPT00702
bWALK00101_bWALK00201,bWALK00101,bWALK00201
CHALL003L1_CCONF003L1,CHALL003L1,CCONF003L1
ADEPT00301_ADEPT00101,ADEPT00301,ADEPT00101
DHALL04502_DLABS00102,DHALL04502,DLABS00102
ELABS00201_EDEPT00401,ELABS00201,EDEPT00401
CHALL004L2_CHALL003L2,CHALL004L2,CHALL003L2
BHALL02602_BHALL01402,BHALL02602,BHALL01402
GDEPT01403_GSERV01603,GDEPT01403,GSERV01603
BDEPT00102_BHALL03802,BDEPT00102,BHALL03802
BHALL03602_BHALL03802,BHALL03602,BHALL03802
WELEV00ML1_CLABS001L1,WELEV00ML1,CLABS001L1
ADEPT00102_AHALL00502,ADEPT00102,AHALL00502
EHALL02301_bCONF00401,EHALL02301,bCONF00401
DHALL03502_DHALL03602,DHALL03502,DHALL03602
IHALL02203_IDEPT00603,IHALL02203,IDEPT00603
CLABS001L1_CREST002L1,CLABS001L1,CREST002L1
BREST00402_BHALL03202,BREST00402,BHALL03202
